Time,x,Voltage
0.206,0.0270,1.7441
0.414,0.0540,1.7249
0.439,0.1621,1.7285
0.460,0.2431,1.7307
0.486,0.3512,1.7266
0.506,0.4322,1.7234
0.527,0.5133,1.7200
0.552,0.6213,1.7161
0.573,0.7024,1.7127
0.593,0.7834,1.7095
0.613,0.8644,1.7064
0.633,0.9455,1.7052
0.659,1.0535,1.7063
0.679,1.1346,1.7072
0.700,1.2156,1.7081
0.725,1.3237,1.7092
0.746,1.4047,1.7101
0.772,1.5128,1.7112
0.792,1.5938,1.7121
0.812,1.6749,1.7189
0.832,1.7559,1.7257
0.852,1.8370,1.7325
0.873,1.9180,1.7396
0.898,2.0261,1.7481
0.919,2.1071,1.7553
0.945,2.2151,1.7641
0.965,2.2962,1.7674
0.985,2.3772,1.7601
1.005,2.4583,1.7529
1.025,2.5393,1.7456
1.046,2.6204,1.7380
1.072,2.7284,1.7285
1.092,2.8095,1.7212
1.112,2.8905,1.7140
1.133,2.9715,1.7093
1.153,3.0526,1.7177
1.174,3.1336,1.7265
1.199,3.2417,1.7370
1.220,3.3227,1.7458
1.240,3.4038,1.7543
1.261,3.4848,1.7631
1.281,3.5658,1.7715
1.301,3.6469,1.7781
1.321,3.7279,1.7785
1.342,3.8090,1.7788
1.362,3.8900,1.7792
1.383,3.9711,1.7795
1.403,4.0521,1.7799
1.423,4.1331,1.7802
1.443,4.2142,1.7806
1.463,4.2952,1.7809
1.484,4.3763,1.7820
1.504,4.4573,1.7830
1.524,4.5384,1.7841
1.544,4.6194,1.7851
1.565,4.7004,1.7862
1.585,4.7815,1.7872
1.606,4.8625,1.7883
1.631,4.9706,1.7896
1.652,5.0516,1.8010
1.672,5.1327,1.8134
1.693,5.2137,1.8264
1.713,5.2947,1.8387
1.733,5.3758,1.8511
1.753,5.4568,1.8635
1.774,5.5379,1.8765
1.794,5.6189,1.8889
1.815,5.7000,1.8790
1.841,5.8080,1.8496
1.861,5.8891,1.8269
1.881,5.9701,1.8043
1.902,6.0511,1.7805
1.922,6.1322,1.7579
1.943,6.2132,1.7341
1.968,6.3213,1.7058
1.989,6.4023,1.7148
2.009,6.4834,1.7249
2.030,6.5644,1.7354
2.050,6.6454,1.7455
2.071,6.7265,1.7560
2.096,6.8345,1.7686
2.117,6.9156,1.7791
2.137,6.9966,1.7892
2.158,7.0777,1.7851
2.178,7.1587,1.7803
2.198,7.2398,1.7756
2.218,7.3208,1.7709
2.239,7.4018,1.7660
2.259,7.4829,1.7612
2.280,7.5639,1.7563
2.306,7.6720,1.7502
2.326,7.7530,1.7560
2.346,7.8341,1.7617
2.367,7.9151,1.7677
2.387,7.9961,1.7735
2.408,8.0772,1.7795
2.433,8.1852,1.7867
2.454,8.2663,1.7927
2.474,8.3473,1.7984
2.495,8.4284,1.7964
2.515,8.5094,1.7943
2.536,8.5905,1.7921
2.561,8.6985,1.7895
2.582,8.7796,1.7873
2.602,8.8606,1.7852
2.623,8.9416,1.7830
2.643,9.0227,1.7810
2.663,9.1037,1.7858
2.683,9.1848,1.7907
2.704,9.2658,1.7958
2.724,9.3468,1.8006
2.744,9.4279,1.8055
2.764,9.5089,1.8103
2.784,9.5900,1.8152
2.805,9.6710,1.8203
2.825,9.7521,1.8136
2.846,9.8331,1.8001
2.872,9.9412,1.7833
2.892,10.0222,1.7703
2.912,10.1032,1.7574
2.933,10.1843,1.7438
2.953,10.2653,1.7309
2.974,10.3464,1.7173
2.994,10.4274,1.7172
3.015,10.5084,1.7225
3.035,10.5895,1.7276
3.056,10.6705,1.7329
3.081,10.7786,1.7392
3.102,10.8596,1.7446
3.122,10.9407,1.7496
3.143,11.0217,1.7550
3.163,11.1028,1.7609
3.184,11.1838,1.7674
3.204,11.2648,1.7736
3.225,11.3459,1.7801
3.245,11.4269,1.7863
3.266,11.5080,1.7928
3.291,11.6160,1.8005
3.312,11.6971,1.8070
3.332,11.7781,1.8126
3.353,11.8591,1.8181
3.373,11.9402,1.8234
3.394,12.0212,1.8289
3.414,12.1023,1.8342
3.435,12.1833,1.8397
3.455,12.2644,1.8450
3.476,12.3454,1.8505
3.501,12.4535,1.8459
3.522,12.5345,1.8371
3.542,12.6155,1.8288
3.563,12.6966,1.8201
3.583,12.7776,1.8118
3.604,12.8587,1.8030
3.624,12.9397,1.7947
3.645,13.0207,1.7860
3.665,13.1018,1.7786
3.686,13.1828,1.7717
3.711,13.2909,1.7634
3.732,13.3719,1.7565
3.752,13.4530,1.7499
3.773,13.5340,1.7430
3.793,13.6151,1.7364
3.814,13.6961,1.7294
3.834,13.7771,1.7273
3.855,13.8582,1.7282
3.875,13.9392,1.7290
3.895,14.0203,1.7299
3.915,14.1013,1.7308
3.935,14.1823,1.7317
3.956,14.2634,1.7326
3.976,14.3444,1.7335
3.997,14.4255,1.7362
4.017,14.5065,1.7423
4.038,14.5876,1.7487
4.058,14.6686,1.7547
4.079,14.7496,1.7611
4.105,14.8577,1.7691
4.125,14.9387,1.7752
4.145,15.0198,1.7813
4.166,15.1008,1.7840
4.186,15.1819,1.7803
4.207,15.2629,1.7765
4.227,15.3440,1.7728
4.248,15.4250,1.7690
4.268,15.5060,1.7654
4.289,15.5871,1.7615
4.314,15.6951,1.7570
4.335,15.7762,1.7549
4.355,15.8572,1.7558
4.376,15.9383,1.7567
4.396,16.0193,1.7576
4.417,16.1003,1.7585
4.437,16.1814,1.7594
